Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2023-09-03 14:17:05.150,11288,316,8,99,False,8,car,0 days 00:00:00.245000,0 days 02:16:04.105000
2023-09-03 14:17:05.430,11379,317,8,99,False,8,car,0 days 00:00:00.525000,0 days 02:16:04.385000
2023-09-03 14:17:05.710,11443,320,8,99,False,8,car,0 days 00:00:00.805000,0 days 02:16:04.665000
2023-09-03 14:17:05.950,11475,322,8,99,False,8,car,0 days 00:00:01.045000,0 days 02:16:04.905000
2023-09-03 14:17:06.190,11544,324,8,99,False,14,car,0 days 00:00:01.285000,0 days 02:16:05.145000
2023-09-03 14:17:06.590,11688,327,8,99,False,12,car,0 days 00:00:01.685000,0 days 02:16:05.545000
2023-09-03 14:17:06.830,11730,328,8,99,False,12,car,0 days 00:00:01.925000,0 days 02:16:05.785000
2023-09-03 14:17:07.069,11794,331,8,99,False,12,car,0 days 00:00:02.164000,0 days 02:16:06.024000
2023-09-03 14:17:07.389,11845,334,8,99,False,12,car,0 days 00:00:02.484000,0 days 02:16:06.344000
2023-09-03 14:17:07.629,11881,335,8,99,False,12,car,0 days 00:00:02.724000,0 days 02:16:06.584000
2023-09-03 14:17:07.869,12000,336,8,99,False,12,car,0 days 00:00:02.964000,0 days 02:16:06.824000
2023-09-03 14:17:08.189,12000,337,8,99,False,12,car,0 days 00:00:03.284000,0 days 02:16:07.144000
2023-09-03 14:17:08.469,11992,338,8,99,False,12,car,0 days 00:00:03.564000,0 days 02:16:07.424000
2023-09-03 14:17:08.789,12061,339,8,99,False,12,car,0 days 00:00:03.884000,0 days 02:16:07.744000
2023-09-03 14:17:08.949,12061,339,8,99,False,12,car,0 days 00:00:04.044000,0 days 02:16:07.904000
2023-09-03 14:17:09.189,12053,339,8,99,False,12,car,0 days 00:00:04.284000,0 days 02:16:08.144000
2023-09-03 14:17:09.389,12053,340,8,99,False,12,car,0 days 00:00:04.484000,0 days 02:16:08.344000
